epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.977,1.51472,2.23048,1.33249,0.57522,0.2822,0.24177,0.13117,1.49528,1.60724,1.32491,0.000133164,0.000133164,0.000133164
2,578.919,1.51225,1.82492,1.3403,0.61861,0.28701,0.25066,0.14063,1.5405,1.51935,1.38506,0.0002632,0.0002632,0.0002632
3,897.367,1.53273,1.77714,1.35142,0.50591,0.27398,0.2659,0.14665,1.54886,1.59855,1.3842,0.000389935,0.000389935,0.000389935
4,1229.61,1.49904,1.71608,1.33592,0.43562,0.27524,0.27805,0.15464,1.55303,1.50887,1.38964,0.00038515,0.00038515,0.00038515
5,1499.86,1.47199,1.61827,1.31398,0.53721,0.29487,0.3134,0.17013,1.53147,1.39659,1.38982,0.0003802,0.0003802,0.0003802
6,1744.27,1.42969,1.52775,1.29118,0.54719,0.30472,0.33336,0.18807,1.50903,1.38274,1.36232,0.00037525,0.00037525,0.00037525
7,1998.78,1.40664,1.47178,1.27624,0.53372,0.30361,0.32301,0.18333,1.46403,1.3381,1.33492,0.0003703,0.0003703,0.0003703
8,2240.02,1.39326,1.40747,1.26568,0.44471,0.43471,0.34123,0.1888,1.56699,1.29517,1.39746,0.00036535,0.00036535,0.00036535
9,2481.59,1.35893,1.37309,1.24291,0.50585,0.34561,0.35788,0.20026,1.53319,1.23494,1.37182,0.0003604,0.0003604,0.0003604
10,2724.51,1.34197,1.31774,1.23476,0.59652,0.32425,0.35747,0.19632,1.48925,1.25364,1.3273,0.00035545,0.00035545,0.00035545
11,2966.18,1.33277,1.29574,1.22977,0.51223,0.40355,0.39024,0.23102,1.46402,1.21304,1.31885,0.0003505,0.0003505,0.0003505
12,3211.03,1.31447,1.24518,1.21216,0.50947,0.35071,0.36798,0.20505,1.48436,1.23476,1.33068,0.00034555,0.00034555,0.00034555
13,3460.05,1.29967,1.22857,1.20487,0.47483,0.4196,0.39223,0.22897,1.50383,1.25499,1.34978,0.0003406,0.0003406,0.0003406
14,3704.97,1.28908,1.18833,1.19901,0.51847,0.33561,0.39297,0.23204,1.45816,1.21201,1.32014,0.00033565,0.00033565,0.00033565
15,3951.21,1.27044,1.16505,1.18704,0.5174,0.40518,0.4051,0.23519,1.46232,1.18747,1.33113,0.0003307,0.0003307,0.0003307
16,4197.78,1.25328,1.13107,1.17657,0.56225,0.35685,0.39503,0.22659,1.47958,1.14405,1.3323,0.00032575,0.00032575,0.00032575
17,4444.83,1.24246,1.10629,1.17123,0.43716,0.34931,0.34869,0.20423,1.45246,1.19703,1.32212,0.0003208,0.0003208,0.0003208
18,4693.57,1.23329,1.08008,1.16601,0.46512,0.41617,0.37218,0.20972,1.49466,1.22087,1.33996,0.00031585,0.00031585,0.00031585
19,4939.65,1.23058,1.06912,1.16563,0.58718,0.35338,0.39633,0.23048,1.4717,1.16405,1.34561,0.0003109,0.0003109,0.0003109
20,5185.6,1.204,1.03197,1.15106,0.55565,0.38389,0.39348,0.2253,1.50343,1.19961,1.36198,0.00030595,0.00030595,0.00030595
21,5433.41,1.20331,1.01611,1.14469,0.48822,0.39499,0.39788,0.2336,1.44297,1.14763,1.31181,0.000301,0.000301,0.000301
22,5680.58,1.19514,1.00372,1.14346,0.48457,0.38757,0.40479,0.2312,1.50861,1.14069,1.3441,0.00029605,0.00029605,0.00029605
23,5925.79,1.18098,0.9864,1.13563,0.56611,0.39631,0.39067,0.22411,1.48531,1.13131,1.33861,0.0002911,0.0002911,0.0002911
24,6172.52,1.16541,0.95467,1.12713,0.48877,0.40825,0.40373,0.23203,1.47954,1.15807,1.34816,0.00028615,0.00028615,0.00028615
25,6420.45,1.16155,0.94798,1.12185,0.55824,0.36722,0.41258,0.23731,1.46754,1.1608,1.35351,0.0002812,0.0002812,0.0002812
26,6666.37,1.15382,0.92167,1.11484,0.52286,0.37349,0.39594,0.22888,1.49323,1.15899,1.34293,0.00027625,0.00027625,0.00027625
27,6911.39,1.12625,0.90218,1.1061,0.55863,0.35874,0.39092,0.23018,1.49078,1.16125,1.35918,0.0002713,0.0002713,0.0002713
28,7160.13,1.12654,0.89216,1.10277,0.59741,0.35634,0.40583,0.24154,1.48025,1.1639,1.35173,0.00026635,0.00026635,0.00026635
29,7408.7,1.11424,0.87464,1.0982,0.61648,0.36377,0.41577,0.24059,1.50161,1.10531,1.35371,0.0002614,0.0002614,0.0002614
30,7657.92,1.10525,0.84949,1.08779,0.41406,0.39014,0.40033,0.23427,1.48867,1.15524,1.35226,0.00025645,0.00025645,0.00025645
31,7907.27,1.09178,0.83272,1.08494,0.44515,0.41764,0.41708,0.24438,1.46422,1.11962,1.3462,0.0002515,0.0002515,0.0002515
32,8154.51,1.08482,0.82023,1.08042,0.52095,0.41069,0.4181,0.24485,1.48336,1.15763,1.35397,0.00024655,0.00024655,0.00024655
33,8403.13,1.08086,0.81602,1.07827,0.54514,0.3804,0.42125,0.2415,1.49344,1.15173,1.36859,0.0002416,0.0002416,0.0002416
34,8651.38,1.05878,0.79161,1.07045,0.48581,0.38897,0.40136,0.24527,1.46319,1.13981,1.3427,0.00023665,0.00023665,0.00023665
35,8900.15,1.05841,0.78621,1.06461,0.52885,0.39524,0.41591,0.24476,1.49387,1.14668,1.36749,0.0002317,0.0002317,0.0002317
36,9206.05,1.04675,0.77632,1.06106,0.50193,0.38528,0.40786,0.2385,1.50182,1.14102,1.37751,0.00022675,0.00022675,0.00022675
37,9660.34,1.04494,0.76174,1.05563,0.4776,0.3765,0.39446,0.23678,1.49694,1.13866,1.37795,0.0002218,0.0002218,0.0002218
38,10116.8,1.03138,0.74565,1.05228,0.46713,0.36301,0.38664,0.22246,1.49079,1.16751,1.36796,0.00021685,0.00021685,0.00021685
39,12694.8,1.03325,0.75126,1.05168,0.51597,0.35768,0.40513,0.23712,1.51145,1.14953,1.37311,0.0002119,0.0002119,0.0002119
40,12946.7,1.01668,0.72859,1.04652,0.56989,0.37479,0.40653,0.24153,1.4819,1.16926,1.35345,0.00020695,0.00020695,0.00020695
41,13210,0.99691,0.71226,1.0372,0.37907,0.41561,0.40156,0.23648,1.51182,1.1658,1.39517,0.000202,0.000202,0.000202
42,13488.1,0.99636,0.70432,1.0343,0.49575,0.40703,0.40522,0.2401,1.50088,1.16277,1.3865,0.00019705,0.00019705,0.00019705
43,13773.7,0.98624,0.70043,1.03038,0.39962,0.43638,0.40492,0.23542,1.53548,1.20088,1.40814,0.0001921,0.0001921,0.0001921
44,14015.5,0.97788,0.68245,1.0247,0.43147,0.40811,0.40369,0.23503,1.51057,1.18278,1.3998,0.00018715,0.00018715,0.00018715
45,14264.5,0.97036,0.68107,1.02202,0.45575,0.3921,0.39233,0.22461,1.52429,1.16288,1.39779,0.0001822,0.0001822,0.0001822
46,14508.3,0.95701,0.66749,1.02138,0.45536,0.37711,0.40958,0.2404,1.53563,1.18697,1.41162,0.00017725,0.00017725,0.00017725
47,14752.3,0.95975,0.66069,1.01392,0.43173,0.42192,0.41139,0.24252,1.51658,1.18004,1.40557,0.0001723,0.0001723,0.0001723
48,14999.2,0.95085,0.65002,1.01069,0.57107,0.3414,0.40118,0.2357,1.52146,1.17788,1.40062,0.00016735,0.00016735,0.00016735
49,15247.4,0.93384,0.64273,1.01051,0.42975,0.416,0.40021,0.23751,1.51453,1.21647,1.41384,0.0001624,0.0001624,0.0001624
